timestamp,event_type,src_path,dest_path,is_sensitive,dest_category,severity,hash_status,current_hash,stored_hash,user,alert_message
2026-06-24T18:45:14.441707,created,test_data/sensitive/secret.pdf,,True,NORMAL,WARNING,,...,...,root,[WARNING] CREATED  ⚠ SENSITIVE FILE  | File: test_data/sensitive/secret.pdf
2026-06-24T18:45:14.443918,created,test_data/normal/notes.txt,,True,NORMAL,WARNING,,...,...,root,[WARNING] CREATED  ⚠ SENSITIVE FILE  | File: test_data/normal/notes.txt
2026-06-24T18:45:14.444026,moved,test_data/sensitive/payroll.xlsx,/media/usb/payroll.xlsx,True,USB_DRIVE,CRITICAL,,...,...,root,[CRITICAL] MOVED  ⚠ SENSITIVE FILE  | File: test_data/sensitive/payroll.xlsx  | Dest: /media/usb/payroll.xlsx  | ⚠ Suspicious destination (USB_DRIVE): Destination matches USB/external drive path: /media/
2026-06-24T18:45:14.444098,modified,test_data/sensitive/employee_records.txt,,True,NORMAL,CRITICAL,MISMATCH,aaaaaaaaaaaaaaaa...,bbbbbbbbbbbbbbbb...,root,[CRITICAL] MODIFIED  ⚠ SENSITIVE FILE  | File: test_data/sensitive/employee_records.txt  | ❌ HASH MISMATCH! stored=bbbbbbbbbbbb... current=aaaaaaaaaaaa...
2026-06-24T18:45:34.268062,created,test_data/sensitive/secret.pdf,,True,NORMAL,WARNING,,...,...,root,[WARNING] CREATED  ⚠ SENSITIVE FILE  | File: test_data/sensitive/secret.pdf
2026-06-24T18:45:34.268373,created,test_data/normal/photo.jpg,,False,NORMAL,INFO,,...,...,root,[INFO] CREATED  | File: test_data/normal/photo.jpg
2026-06-24T18:45:34.268473,moved,test_data/sensitive/payroll.xlsx,/media/usb/payroll.xlsx,True,USB_DRIVE,CRITICAL,,...,...,root,[CRITICAL] MOVED  ⚠ SENSITIVE FILE  | File: test_data/sensitive/payroll.xlsx  | Dest: /media/usb/payroll.xlsx  | ⚠ Suspicious destination (USB_DRIVE): Destination matches USB/external drive path: /media/
2026-06-24T18:45:34.268544,modified,test_data/sensitive/employee_records.txt,,True,NORMAL,CRITICAL,MISMATCH,aaaaaaaaaaaaaaaa...,bbbbbbbbbbbbbbbb...,root,[CRITICAL] MODIFIED  ⚠ SENSITIVE FILE  | File: test_data/sensitive/employee_records.txt  | ❌ HASH MISMATCH! stored=bbbbbbbbbbbb... current=aaaaaaaaaaaa...
2026-06-24T23:05:59.073434,created,/Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt,,True,NORMAL,WARNING,NO_BASELINE,e3b0c44298fc1c14...,...,charvis,[WARNING] CREATED  ⚠ SENSITIVE FILE  | File: /Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt  | ℹ New file – baseline hash recorded
2026-06-24T23:05:59.075036,modified,/Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt,,True,NORMAL,WARNING,MATCH,e3b0c44298fc1c14...,e3b0c44298fc1c14...,charvis,[WARNING] MODIFIED  ⚠ SENSITIVE FILE  | File: /Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt  | ✔ Hash OK
2026-06-24T23:06:08.274368,modified,/Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt,,True,NORMAL,CRITICAL,MISMATCH,5891b5b522d5df08...,e3b0c44298fc1c14...,charvis,[CRITICAL] MODIFIED  ⚠ SENSITIVE FILE  | File: /Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt  | ❌ HASH MISMATCH! stored=e3b0c44298fc... current=5891b5b522d5...
2026-06-24T23:06:16.598161,deleted,/Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt,,True,NORMAL,WARNING,,...,...,charvis,[WARNING] DELETED  ⚠ SENSITIVE FILE  | File: /Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test.txt
2026-06-24T23:09:16.175187,created,/Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test1.txt,,True,NORMAL,WARNING,NO_BASELINE,114811b0b8998cb9...,...,charvis,[WARNING] CREATED  ⚠ SENSITIVE FILE  | File: /Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test1.txt  | ℹ New file – baseline hash recorded
2026-06-24T23:09:16.176675,modified,/Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test1.txt,,True,NORMAL,WARNING,MATCH,114811b0b8998cb9...,114811b0b8998cb9...,charvis,[WARNING] MODIFIED  ⚠ SENSITIVE FILE  | File: /Users/charvis/Downloads/secure_file_transfer_monitor/test_data/normal/test1.txt  | ✔ Hash OK
